Artist,Title,Found on Spotify?,Spotify URI,Corrections
The Future Sound Of London,Vit Drowning / Through Your Gills I Breathe,Yes,spotify:track:0Fb7Acb2ZFCGrvQ9ZCEczW,
Central Rush,Out Of Focus (Original Mix),Yes,,
Love Spirals Downwards,Sunset Bell,Yes,spotify:track:5hvueoVOLkcM10hYKfIz2j,
Sun Electric,O’locco (Orbital Theory Pt3),Yes,spotify:track:4d4O6XBwGiqPI6VKY7SxFV,
Tre Flip,Smoke,Yes,spotify:track:2ChFZI49WJ1GIDBtjGfo9P,
Frankjavcee,Simpson Wave 1995,Yes,,
Vince Watson,Melodika,Yes,spotify:track:5Im61xJEm7DwV17MNBv2DV,
Medasin,Magic,Yes,spotify:track:2fJcCZXjaPx86LQymV6Ufu,
"Angelo Badalamenti, The City Of Prague Philharmonic",Mulholland Drive / Love Theme,Yes,,
Malibu,??? (Fsol),Yes,,
Evian Christ,Silence,Yes,spotify:track:5KV8Slzq0UG3dRQD0FiOZR,
"Imagine Drowning, Dysonence",Peroxide,Yes,spotify:track:1lDQal5To3RPGCzYFBpaFR,
Wulven,High Gravity,Yes,spotify:track:0EbqSh8eiCjFE8RUlILfdD,
Imagine Drowning,They Love Nothing About Me,Yes,spotify:track:0osph6HigEsnr9TBbovLRm,
Grouper,Alien Observer,Yes,spotify:track:35VfLKymw2iZKWnLTvm8Xv,
Nate Steckler,Petrichor,Yes,spotify:track:3zyck0G4bhaEcVDEyzQWRq,
Wulven,They Are Never Coming Back,Yes,spotify:track:4qW2N8Ms4h6x1aqEVMQ2Vp,
Tim Hecker,Dungeoneering,Yes,spotify:track:2rRrV0syrGGaVbVDHXESs3,
Malibu,So Far Out Of Love,Yes,spotify:track:6KhlkE9KmaMwxDCfRvCrFr,
Two Heavens,United States Of Europe,Yes,spotify:track:3qDa1g23N5FgSqe2c9eNO8,
Radiant Futur,Life Amplifier’s Modulation,Yes,spotify:track:47kRDt90OdjuwqhyeCDKgD,
Two Heavens,I Want To Live 4 Ever,Yes,spotify:track:74pWjP98kCKjaC1okQhRuD,
6lack,Playin House (Pt.1 Endel Sleep Soundscape),Yes,spotify:track:2cSwPGfyz5r0sdt3o1ML1Q,
